ok,organization,id,title,url,groups,groups_extra,vocabulary,vocabulary_extra,tags,original_tags,,
1,torrent,553344806682-torrent-linia-de-transport-bus-2016,Torrent: Línea de transporte BUS 2016,http://datosabiertos.torrent.es/dataset/linia-de-transport-bus-2016,transporte,,bus,,bus,"sector-publico, transporte",,
1,dipcas,170679326962-dipcas-campings,Castellón: Campings,https://datosabiertos.dipcas.es/explore/dataset/campings,alojamientos,,Camping,,camping,Turismo,,
1,gva,275594829175-gva-dades-turisme-campings-comunitat-valenciana,GVA: Datos de turismo sobre campings en la Comunidad Valenciana,https://dadesobertes.gva.es/dataset/dades-turisme-campings-comunitat-valenciana,alojamientos,,Camping,,camping,"Año 2023, campings, estadísticas, turismo",,
1,sagunto,112718028656-sagunto-alojamientos-hoteles-y-viviendas-vacacionales,"Sagunto: Alojamientos, hoteles y viviendas vacacionales",http://datosabiertos.sagunto.es/dataset/alojamientos-hoteles-y-viviendas-vacacionales,alojamientos,,"Hoteles,Camping,Viviendas turísticas",,"camping,hoteles,turistico,viviendas","alojamientos turísticos, turismo",,
1,dipcas,172869385262-dipcas-carreteras0,Castellón: Carreteras,https://datosabiertos.dipcas.es/explore/dataset/carreteras0,transporte,,carreteras,,carreteras,Urbanismo e infraestructuras,,
1,dipcas,991835485345-dipcas-ejes_dipcas,Castellón: Ejes de las carreteras de titularidad provincial,https://datosabiertos.dipcas.es/explore/dataset/ejes_dipcas,transporte,,carreteras,,carreteras,Transporte,,
1,valencia,254959608431-valencia-llistat-dels-carrers,Valencia: Llistat dels carrers,https://valencia.opendatasoft.com/explore/dataset/llistat-dels-carrers,transporte,,carreteras,,carreteras,Urbanismo e Infraestructuras,,
1,dipcas,101351343896-dipcas-cementerios-2019,Castellón: Cementerios,https://datosabiertos.dipcas.es/explore/dataset/cementerios-2019,caracteristicas del destino,,cementerios,,cementerios,Sector público,,
1,alcoi,283888851252-alcoi-clinicas-privadas,Alcoy: Clínicas Privadas,https://opendata.alcoi.org/data/dataset/clinicas-privadas,caracteristicas del destino,,salud,,centros,salud,,
1,dipcas,741199742690-dipcas-centros-asistenciales,Castellón: Centros asistenciales,https://datosabiertos.dipcas.es/explore/dataset/centros-asistenciales,caracteristicas del destino,,centros,,centros,Salud,,
1,dipcas,760842726983-dipcas-centros-culturales-2,Castellón: Centros culturales,https://datosabiertos.dipcas.es/explore/dataset/centros-culturales-2,caracteristicas del destino,,centros,,centros,Cultura y ocio,,
1,valencia,218235695726-valencia-recursos-socials-dirigits-a-majors,Valencia: Recursos socials dirigits a majors,https://valencia.opendatasoft.com/explore/dataset/recursos-socials-dirigits-a-majors,caracteristicas del destino,,centros,,centros_,Sociedad y Bienestar,,
1,valencia,292027950269-valencia-cartografia-base-construcciones-construcciones,Valencia: Construcciones,https://valencia.opendatasoft.com/explore/dataset/cartografia-base-construcciones-construcciones,caracteristicas del destino,,construcciones,,construcciones,Urbanismo e Infraestructuras,,
1,valencia,112199564763-valencia-contenidors-residus-solids-contenidores-residuos-solidos,Valencia: Contenidores residuos sólidos,https://valencia.opendatasoft.com/explore/dataset/contenidors-residus-solids-contenidores-residuos-solidos,caracteristicas del destino,,contenedores,,contenedores,,,
1,ine,110021592708-ine-238_36570,INE: Coyuntura turística hotelera: pernoctaciones en establecimientos hoteleros,https://www.ine.es/jaxiT3/Tabla.htm?t=36570,alojamientos,,coyuntura,,coyuntura,,,
1,sagunto,197863159749-sagunto-bienes-de-interes-cultural,Sagunto: Bienes de Interés Cultural,http://datosabiertos.sagunto.es/dataset/bienes-de-interes-cultural,recursos,,Bien de Interés Cultural,,cultura,"bienes de interés cultural, cultura, inmuebles, turismo",,
1,valencia,111437481364-valencia-be-bien-bic,Valencia: Bien (BIC),https://valencia.opendatasoft.com/explore/dataset/be-bien-bic,recursos,,Bien de Interés Cultural,,cultura,"Urbanismo e Infraestructuras, Turismo",,
1,gva,213993123165-gva-datos-de-departamentos-de-salud-zonas-basicas-y-municipios-de-la-comunitat-valencia,"GVA: Datos de departamentos de salud, zonas básicas y municipios de la Comunitat Valenciana",https://dadesobertes.gva.es/dataset/datos-de-departamentos-de-salud-zonas-basicas-y-municipios-de-la-comunitat-valenciana,caracteristicas del destino,,salud,,departamentos,"COVID-19, departamentos, municipios, salud, zonas",,
1,valencia,110166660983-valencia-dutxes-platja-duchas-playa,Valencia: Duchas playa,https://valencia.opendatasoft.com/explore/dataset/dutxes-platja-duchas-playa,caracteristicas del destino,,duchas,,duchas,,,
1,valencia,339030481129-valencia-cartografia-base-agrupacio-edificis-agrupacion_edificios,Valencia: Agrupacion_Edificios,https://valencia.opendatasoft.com/explore/dataset/cartografia-base-agrupacio-edificis-agrupacion_edificios,caracteristicas del destino,,edificios,,edificios,Urbanismo e Infraestructuras,,
1,valencia,150814863851-valencia-cartografia-base-edificis-edificios,Valencia: Edificios,https://valencia.opendatasoft.com/explore/dataset/cartografia-base-edificis-edificios,caracteristicas del destino,,edificios,,edificios,Urbanismo e Infraestructuras,,
1,dipcas,319813815990-dipcas-edificios-publicos-sin-usos,Castellón: Edificios públicos sin uso,https://datosabiertos.dipcas.es/explore/dataset/edificios-publicos-sin-usos,caracteristicas del destino,,edificos,,edificos,Urbanismo e infraestructuras,,
1,dipcas,265916111245-dipcas-electrolineras,Castellón: Electrolineras,https://datosabiertos.dipcas.es/explore/dataset/electrolineras,transporte,,electrolineras,,electrolineras,Transporte,,
1,dipcas,484226546674-dipcas-empleo-turistico,Castellón: Empleo turístico,https://datosabiertos.dipcas.es/explore/dataset/empleo-turistico,empleo,,Empleo turístico,,"empleo,turístico",Turismo,,
1,dipcas,274937695715-dipcas-parques-empresariales-en-la-comunidad-valenciana-2021,Castellón: Parques empresariales en la provincia de Castellón 2021,https://datosabiertos.dipcas.es/explore/dataset/parques-empresariales-en-la-comunidad-valenciana-2021,empresas,,empresas,,empresas,Economía,,
1,gva,265013379291-gva-parcs-empresarials-comunitat-valenciana-2021,GVA: Parques empresariales de la Comunitat Valenciana 2021,https://dadesobertes.gva.es/dataset/parcs-empresarials-comunitat-valenciana-2021,empresas,,empresas,,empresas,"DadesObertesGVA, parques empresariales, parques industriales, polígonos industriales, suelo industrial, áreas industriales",,
1,torrent,295488622232-torrent-organismes-autonoms-i-empreses-municipals-2016-organismos-autonomos-y-empresas-,Torrent: Organismos Autónomos y Empresas Municipales 2016,http://datosabiertos.torrent.es/dataset/organismes-autonoms-i-empreses-municipals-2016-organismos-autonomos-y-empresas-municipales-2016,empresas,,empresas,,empresas,sector-publico,,
1,dipcas,324091381437-dipcas-empresas-de-turismo-activo,Castellón: Empresas de turismo activo,https://datosabiertos.dipcas.es/explore/dataset/empresas-de-turismo-activo,empresas,,Empresas de turismo activo,,"empresas,turismo_activo",Turismo,,
1,gva,555587494316-gva-dades-turisme-actiu-comunitat-valenciana,GVA: Datos sobre turismo activo en la Comunidad Valenciana,https://dadesobertes.gva.es/dataset/dades-turisme-actiu-comunitat-valenciana,empresas,,Empresas de turismo activo,,"empresas,turismo_activo","estadísticas, turismo, turismo activo",,
1,dipcas,186421236506-dipcas-demografia,Castellón: Demografía y equipamientos municipales,https://datosabiertos.dipcas.es/explore/dataset/demografia,caracteristicas del destino,,equipamientos,,equipamientos,Demografía,,
1,gva,456494714438-gva-elementos-de-interes-de-los-parajes-naturales-municipales,GVA: Elementos de interés de los Parajes Naturales Municipales,https://dadesobertes.gva.es/dataset/elementos-de-interes-de-los-parajes-naturales-municipales,recursos,,recurso_natural,,espacios_protegidos,"ANEXO I, ANEXO III, Comunitat Valenciana, ENVIRONMENT, ESPAÑA, Edificios, Espacios protegidos, Lugares protegidos, Medio ambiente, actividades recreativas, protección de áreas naturales",,
1,gva,290882025254-gva-parajes-naturales-municipales-de-la-comunitat-valenciana,GVA: Parajes Naturales Municipales de la Comunitat Valenciana,https://dadesobertes.gva.es/dataset/parajes-naturales-municipales-de-la-comunitat-valenciana,recursos,,recursos naturales,,espacios_protegidos,"ANEXO I, Comunitat Valenciana, ENVIRONMENT, ESPAÑA, Espacios protegidos, Lugares protegidos, Medio ambiente, protección de áreas naturales",,
1,gva,211787887207-gva-parques-naturales-de-la-comunitat-valenciana,GVA: Parques Naturales de la Comunitat Valenciana,https://dadesobertes.gva.es/dataset/parques-naturales-de-la-comunitat-valenciana,recursos,,recurso natural,,espacios_protegidos,"ANEXO I, Comunitat Valenciana, ENVIRONMENT, ESPAÑA, Espacios protegidos, Lugares protegidos, Medio ambiente, protección de áreas naturales",,
1,gva,268011224941-gva-zonas-humedas-de-importancia-internacional-de-la-comunitat-valenciana,GVA: Zonas Húmedas de Importancia Internacional de la Comunitat Valenciana,https://dadesobertes.gva.es/dataset/zonas-humedas-de-importancia-internacional-de-la-comunitat-valenciana,recursos,,zonas naturales,,espacios_protegidos,"Anexo I, Comunitat Valenciana, ENVIRONMENT, ESPAÑA, Espacios protegidos, Hidrografía, Lugares protegidos, Medio ambiente, aguas continentales, protección de áreas naturales",,
