CODIGO_MUNIINE,MUNICIPIO,RED DTI ,PORTAL DE OPEN DATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,URL  DIPUTACIÓN DE ALICANTE,CATEGORIA DE TURISMO DPA,TECNOLOGIA,PROCESABLE,EPADATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,AlLICANTEENCIFRAS CAMARA DE COMERCIO URL ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,INE DATOS TURISTICOS ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE
3031,BENIDORM ,SI(TERCER NIVEL),https://benidorm.org/es/smartcity,Si,PROPIA,NO,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03031,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benidorm/1499,"SI TIENE PERO.
CATEGORIA DE TURISMO UNICMANETE HOTELES Y CON POSIBILIDAD DE DESCARGA",,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=2078,"CATEGORIA DE TURISMO SI 
-PUEDES ENCONTRAR

-Encuesta de ocupación hotelera
Establecimientos hoteleros 
(Viajeros y pernoctaciones) (residentes o extranjeros) (periodo)

",,
3032,BENIFALLIM,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03032,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benifallim/1505,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3033,BENIFATO ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03033,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benifato/1506,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3034,BENIJOFAR,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03034,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benijofar/1510,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3035,BENILLOBA,,,,,,http://documentacion.diputacionalicante.es/4hogares.asp?codigo=03035,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benilloba/1511,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3036,BENILLUP ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03036,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benillup/1512,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3037,BENIMANTELL,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03037,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benimantell/1513,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3038,BENIMARFULL,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03038,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benimarfull/1514,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3039,BENIMASSOT,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03039,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benimassot/1515,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3040,BENIMELI,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03040,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benimeli/1516,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3041,BENISSA,SI (PRIMER NIVEL),,No,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03041,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benissa/1521,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3042,BENITACHELL,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03042,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/benitachell/1526,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3043,BIAR,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03043,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/biar/1603,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
